,,SATD,non-SATD
0,num,0,72.0
1,accepted_num,0,57.0
2,accepted_rate,-,0.7916666666666666
3,min_revisions,,1.0
4,mean_revisions,,2.0416666666666665
5,median_revisions,,1.0
6,max_revisions,,10.0
