id,line,log_line
63881,59,4.077537444
63882,334,5.811140993
63883,80,4.382026635
63891,12,2.48490665
63894,2,0.693147181
63897,6,1.791759469
63901,80,4.382026635
63911,60,4.094344562
63913,28,3.33220451
63917,55,4.007333185
63918,32,3.465735903
63933,646,6.470799504
63960,22,3.091042453
63975,380,5.940171253
63980,4,1.386294361
63981,43,3.761200116
63989,323,5.777652323
63990,539,6.289715571
63991,125,4.828313737
63995,32,3.465735903
63997,11,2.397895273
63998,1,0
64001,13,2.564949357
64006,2,0.693147181
64007,2,0.693147181
64008,23,3.135494216
64013,4,1.386294361
64014,12,2.48490665
64015,101,4.615120517
64017,527,6.267200549
64018,9,2.197224577
64023,15,2.708050201
64026,2137,7.667158255
64031,38,3.63758616
64033,19,2.944438979
64043,2,0.693147181
64046,38,3.63758616
64047,501,6.216606101
64066,63,4.143134726
64072,103,4.634728988
64076,2,0.693147181
64079,44,3.784189634
64081,167,5.117993812
64083,18,2.890371758
64087,9,2.197224577
64090,224,5.411646052
64093,103,4.634728988
64095,16,2.772588722
64097,534,6.280395839
64098,62,4.127134385
64099,2,0.693147181
64101,2,0.693147181
64115,1,0
64124,140,4.941642423
64125,44,3.784189634
64127,8,2.079441542
64134,78,4.356708827
64139,251,5.525452939
64177,13,2.564949357
64185,1030,6.937314081
64193,34,3.526360525
64205,160,5.075173815
64218,2,0.693147181
64230,46,3.828641396
64231,2,0.693147181
64236,10779,9.285355076
64239,114,4.736198448
64241,97,4.574710979
64242,3,1.098612289
64243,102,4.624972813
64253,109,4.691347882
64264,4,1.386294361
64277,32,3.465735903
64289,4,1.386294361
64290,746,6.6147256
64297,17,2.833213344
64301,13,2.564949357
64315,25,3.218875825
64318,4,1.386294361
64319,22,3.091042453
64320,5,1.609437912
64324,1,0
64327,4,1.386294361
64328,20,2.995732274
64330,1,0
64332,2,0.693147181
64333,1,0
64343,96,4.564348191
64348,4587,8.430981495
64350,2641,7.878912912
64354,4,1.386294361
64363,41,3.713572067
64383,18,2.890371758
64384,4,1.386294361
64405,80,4.382026635
64409,177,5.176149733
64412,7,1.945910149
64419,1875,7.536363938
64429,495,6.204557763
64430,1493,7.308542798
64442,46,3.828641396
64460,6,1.791759469
64461,222,5.402677382
64469,550,6.309918278
64473,8,2.079441542
64489,27,3.295836866
64492,3,1.098612289
64493,41,3.713572067
64494,98,4.584967479
64497,16,2.772588722
64498,22,3.091042453
64502,18,2.890371758
64508,13,2.564949357
