NUMBER,Del_include?,Add_include?,SATD,sub_name,broken?
3688,0,0,SATD_have,qt/qtdeclarative,1
3692,0,0,SATD_have,qt/qtlocation,1
3697,0,0,SATD_have,qt/qtdeclarative,1
3740,0,0,SATD_have,qt/qtdoc,1
3741,0,0,SATD_have,qt/qtdeclarative,1
3742,0,0,SATD_have,qt/qtdeclarative,1
3744,0,0,SATD_have,qt/qtdeclarative,1
3748,0,0,SATD_have,qt/qtdeclarative,1
3750,0,0,SATD_have,qt/qtdeclarative,1
3754,0,0,SATD_have,qt/qtdeclarative,1
3764,0,0,SATD_have,qt/qtdeclarative,1
3766,0,0,SATD_have,qt/qtdeclarative,1
3767,0,0,SATD_have,qt/qtdeclarative,1
3768,0,0,SATD_have,qt/qtdeclarative,1
3769,0,0,SATD_have,qt/qtdeclarative,1
3797,0,0,SATD_have,qt/qtdeclarative,1
3839,0,0,SATD_have,qt/qtdeclarative,1
3855,0,0,SATD_have,qt/qtqa,1
3860,0,0,SATD_have,qt/qtdeclarative,1
3896,0,0,SATD_have,qt/qtdeclarative,1
3937,0,0,SATD_have,qt/qtdeclarative,1
3991,0,0,SATD_have,qt/qtdeclarative,1
3992,0,0,SATD_have,qt/qtdeclarative,1
4003,0,0,SATD_have,qt/qtdeclarative,1
4022,0,0,SATD_have,qt/qtdeclarative,1
4033,0,0,SATD_have,qt/qtdeclarative,1
4034,0,0,SATD_have,qt/qtdeclarative,1
4035,0,0,SATD_have,qt/qtdeclarative,1
4041,0,0,SATD_have,qt/qtdeclarative,1
4046,0,0,SATD_have,qt/qtdeclarative,1
4053,0,0,SATD_have,qt/qtdeclarative,1
4064,0,0,SATD_have,qt/qtdeclarative,1
4067,0,0,SATD_have,qt/qtdeclarative,1
4071,0,0,SATD_have,qt/qtdeclarative,1
4109,0,0,SATD_have,qt/qtlocation,1
4115,0,0,SATD_have,qt/qtdeclarative,1
4161,0,0,SATD_have,qt/qtqa,1
4220,0,0,SATD_have,qt/qtdeclarative,1
4223,0,0,SATD_have,qt/qtsensors,1
4231,0,0,SATD_have,qt/qtdeclarative,1
4297,0,0,SATD_have,qt/qtdeclarative,1
4334,0,0,SATD_have,qt/qtlocation,1
4351,0,0,SATD_have,qt/qtdeclarative,1
4451,0,0,SATD_have,qt/qtdeclarative,1
4461,0,0,SATD_have,qt/qtdeclarative,1
4464,0,0,SATD_have,qt/qtdeclarative,1
4491,0,0,SATD_have,qt/qtdeclarative,1
4497,0,0,SATD_have,qt/qtdeclarative,1
4506,0,0,SATD_have,qt/qtdeclarative,1
4510,0,0,SATD_have,qt/qtdeclarative,1
4605,0,0,SATD_have,qt/qttools,1
4620,0,0,SATD_have,qt/qtlocation,1
4623,0,0,SATD_have,qt/qtdeclarative,1
4628,0,0,SATD_have,qt/qtdeclarative,1
4632,0,0,SATD_have,qt/qtlocation,1
