NUMBER,Del_include?,Add_include?,SATD,sub_name,broken?
2750,0,4,SATD_have,openstack/nova,0
2766,0,1,SATD_have,openstack/nova,0
2767,0,1,SATD_have,openstack/nova,0
2854,1,2,SATD_have,openstack/nova,0
2859,0,1,SATD_have,openstack/nova,0
2878,1,1,SATD_have,openstack/nova,0
2892,1,0,SATD_have,openstack/nova,0
2902,0,2,SATD_have,openstack/nova,0
2911,0,13,SATD_have,openstack/nova,0
2918,0,4,SATD_have,openstack/nova,0
2922,0,2,SATD_have,openstack/nova,0
2938,0,1,SATD_have,openstack/nova,0
2943,0,2,SATD_have,openstack/nova,0
2949,0,1,SATD_have,openstack/nova,0
2956,0,2,SATD_have,openstack/nova,0
2973,0,1,SATD_have,openstack/nova,0
2982,2,4,SATD_have,openstack/nova,0
2992,0,2,SATD_have,openstack/nova,0
3004,0,1,SATD_have,openstack/nova,0
3017,1,0,SATD_have,openstack/nova,0
3020,2,2,SATD_have,openstack/nova,0
3035,0,1,SATD_have,openstack/nova,0
3049,2,0,SATD_have,openstack/nova,0
3109,0,3,SATD_have,openstack/nova,0
3170,1,0,SATD_have,openstack/nova,0
3190,2,0,SATD_have,openstack/nova,0
3199,6,1,SATD_have,openstack/nova,0
3207,0,2,SATD_have,openstack/nova,0
3214,0,1,SATD_have,openstack/nova,0
3215,0,1,SATD_have,openstack/nova,0
3219,0,3,SATD_have,openstack/nova,0
3249,0,1,SATD_have,openstack/nova,0
3263,1,1,SATD_have,openstack/nova,0
3266,1,1,SATD_have,openstack/nova,0
3267,2,2,SATD_have,openstack/nova,0
3273,0,1,SATD_have,openstack/nova,0
3309,9,10,SATD_have,openstack/nova,0
3343,1,0,SATD_have,openstack/nova,0
3354,0,1,SATD_have,openstack/nova,0
3360,0,1,SATD_have,openstack/nova,0
3401,4,2,SATD_have,openstack/nova,0
3477,0,2,SATD_have,openstack/nova,0
3502,0,1,SATD_have,openstack/nova,0
3534,1,0,SATD_have,openstack/nova,0
3586,0,2,SATD_have,openstack/nova,0
3599,3,0,SATD_have,openstack/nova,0
3614,2,0,SATD_have,openstack/nova,0
3627,0,4,SATD_have,openstack/nova,0
3629,6,2,SATD_have,openstack/nova,0
3630,4,0,SATD_have,openstack/nova,0
3648,2,0,SATD_have,openstack/nova,0
3667,0,1,SATD_have,openstack/nova,0
3730,1,2,SATD_have,openstack/nova,0
3739,2,0,SATD_have,openstack/nova,0
3773,1,1,SATD_have,openstack/nova,0
3795,0,1,SATD_have,openstack/nova,0
3796,1,0,SATD_have,openstack/nova,0
3850,8,0,SATD_have,openstack/nova,0
3858,1,2,SATD_have,openstack/nova,0
3919,0,1,SATD_have,openstack/nova,0
3938,1,0,SATD_have,openstack/nova,0
3955,0,14,SATD_have,openstack/nova,0
3964,0,1,SATD_have,openstack/nova,0
3967,0,2,SATD_have,openstack/nova,0
4062,1,9,SATD_have,openstack/nova,0
4075,2,2,SATD_have,openstack/nova,0
4093,2,2,SATD_have,openstack/nova,0
4098,0,4,SATD_have,openstack/nova,0
4269,0,1,SATD_have,openstack/nova,0
4322,0,1,SATD_have,openstack/nova,0
4335,1,0,SATD_have,openstack/nova,0
4378,0,20,SATD_have,openstack/nova,0
4379,0,1,SATD_have,openstack/nova,0
4499,1,0,SATD_have,openstack/nova,0
4511,0,1,SATD_have,openstack/nova,0
4526,3,0,SATD_have,openstack/nova,0
4595,0,1,SATD_have,openstack/nova,0
4614,1,0,SATD_have,openstack/nova,0
4615,0,1,SATD_have,openstack/nova,0
4633,1,0,SATD_have,openstack/nova,0
4667,0,3,SATD_have,openstack/nova,0
4683,0,1,SATD_have,openstack/nova,0
4700,2,0,SATD_have,openstack/nova,0
4747,1,2,SATD_have,openstack/nova,0
4798,2,5,SATD_have,openstack/nova,0
4856,2,0,SATD_have,openstack/nova,0
4906,20,20,SATD_have,openstack/nova,0
4937,2,2,SATD_have,openstack/nova,0
4961,17,17,SATD_have,openstack/nova,0
4968,0,1,SATD_have,openstack/nova,0
5075,1,0,SATD_have,openstack/nova,0
5092,1,0,SATD_have,openstack/nova,0
5093,1,0,SATD_have,openstack/nova,0
5101,1,0,SATD_have,openstack/nova,0
5102,1,0,SATD_have,openstack/nova,0
5137,1,1,SATD_have,openstack/nova,0
5155,2,0,SATD_have,openstack/nova,0
5236,1,0,SATD_have,openstack/nova,0
5248,3,0,SATD_have,openstack/nova,0
5296,1,1,SATD_have,openstack/nova,0
5316,1,1,SATD_have,openstack/nova,0
5319,0,1,SATD_have,openstack/nova,0
5345,0,1,SATD_have,openstack/nova,0
5351,0,1,SATD_have,openstack/nova,0
5363,1,2,SATD_have,openstack/nova,0
5377,11,0,SATD_have,openstack/nova,0
5399,0,1,SATD_have,openstack/nova,0
5476,1,1,SATD_have,openstack/nova,0
5518,0,1,SATD_have,openstack/nova,0
5551,0,1,SATD_have,openstack/nova,0
5619,1,1,SATD_have,openstack/nova,0
5621,1,0,SATD_have,openstack/nova,0
5653,0,1,SATD_have,openstack/nova,0
5718,0,1,SATD_have,openstack/nova,0
5749,3,0,SATD_have,openstack/nova,0
5758,1,0,SATD_have,openstack/nova,0
5762,0,2,SATD_have,openstack/nova,0
5767,1,0,SATD_have,openstack/nova,0
5818,0,1,SATD_have,openstack/nova,0
6025,0,1,SATD_have,openstack/nova,0
6054,0,1,SATD_have,openstack/nova,0
6086,1,1,SATD_have,openstack/nova,0
6119,4,0,SATD_have,openstack/nova,0
6189,0,1,SATD_have,openstack/nova,0
6197,0,1,SATD_have,openstack/nova,0
6204,0,1,SATD_have,openstack/nova,0
6277,1,0,SATD_have,openstack/nova,0
6280,1,0,SATD_have,openstack/nova,0
6361,1,0,SATD_have,openstack/nova,0
6375,2,0,SATD_have,openstack/nova,0
6385,1,0,SATD_have,openstack/nova,0
6391,1,0,SATD_have,openstack/nova,0
6410,0,25,SATD_have,openstack/nova,0
6560,1,0,SATD_have,openstack/nova,0
6566,1,1,SATD_have,openstack/nova,0
6629,0,5,SATD_have,openstack/nova,0
6774,0,1,SATD_have,openstack/nova,0
6814,0,2,SATD_have,openstack/nova,0
6847,4,4,SATD_have,openstack/nova,0
6855,1,1,SATD_have,openstack/nova,0
6932,1,0,SATD_have,openstack/nova,0
6952,1,0,SATD_have,openstack/nova,0
7027,1,0,SATD_have,openstack/nova,0
7048,0,1,SATD_have,openstack/nova,0
7142,1,0,SATD_have,openstack/nova,0
7215,1,0,SATD_have,openstack/nova,0
7249,0,1,SATD_have,openstack/nova,0
7262,0,3,SATD_have,openstack/nova,0
7288,0,1,SATD_have,openstack/nova,0
7302,1,0,SATD_have,openstack/nova,0
7323,1,6,SATD_have,openstack/nova,0
7342,1,0,SATD_have,openstack/nova,0
7386,0,1,SATD_have,openstack/nova,0
7390,1,0,SATD_have,openstack/nova,0
7412,0,1,SATD_have,openstack/nova,0
7453,1,1,SATD_have,openstack/nova,0
7458,1,1,SATD_have,openstack/nova,0
7476,0,1,SATD_have,openstack/nova,0
7584,1,1,SATD_have,openstack/nova,0
7601,1,1,SATD_have,openstack/nova,0
7633,0,7,SATD_have,openstack/nova,0
7770,0,2,SATD_have,openstack/nova,0
7796,0,1,SATD_have,openstack/nova,0
7828,0,1,SATD_have,openstack/nova,0
7842,2,3,SATD_have,openstack/nova,0
7889,1,0,SATD_have,openstack/nova,0
7930,1,3,SATD_have,openstack/nova,0
7970,1,0,SATD_have,openstack/nova,0
7986,1,1,SATD_have,openstack/nova,0
8007,0,4,SATD_have,openstack/nova,0
8014,4,4,SATD_have,openstack/nova,0
8020,3,1,SATD_have,openstack/nova,0
8032,1,0,SATD_have,openstack/nova,0
8126,2,2,SATD_have,openstack/nova,0
8127,2,2,SATD_have,openstack/nova,0
8158,0,2,SATD_have,openstack/nova,0
8166,1,0,SATD_have,openstack/nova,0
8168,1,0,SATD_have,openstack/nova,0
8228,0,1,SATD_have,openstack/nova,0
8254,0,5,SATD_have,openstack/nova,0
8262,0,1,SATD_have,openstack/nova,0
8339,2,2,SATD_have,openstack/nova,0
8411,1,0,SATD_have,openstack/nova,0
8416,0,1,SATD_have,openstack/nova,0
8422,0,2,SATD_have,openstack/nova,0
8448,0,1,SATD_have,openstack/nova,0
8474,1,0,SATD_have,openstack/nova,0
8530,0,1,SATD_have,openstack/nova,0
8532,2,0,SATD_have,openstack/nova,0
8538,2,0,SATD_have,openstack/nova,0
8695,0,3,SATD_have,openstack/nova,0
8696,0,2,SATD_have,openstack/nova,0
8732,0,1,SATD_have,openstack/nova,0
8747,0,2,SATD_have,openstack/nova,0
8791,0,2,SATD_have,openstack/nova,0
8908,1,0,SATD_have,openstack/nova,0
8943,1,0,SATD_have,openstack/nova,0
8973,0,1,SATD_have,openstack/nova,0
8974,0,2,SATD_have,openstack/nova,0
9033,0,1,SATD_have,openstack/nova,0
9065,0,1,SATD_have,openstack/nova,0
9066,1,0,SATD_have,openstack/nova,0
9078,1,1,SATD_have,openstack/nova,0
9083,1,0,SATD_have,openstack/nova,0
9113,1,0,SATD_have,openstack/nova,0
9116,0,1,SATD_have,openstack/nova,0
9175,0,2,SATD_have,openstack/nova,0
9176,0,1,SATD_have,openstack/nova,0
9192,0,1,SATD_have,openstack/nova,0
9199,0,6,SATD_have,openstack/nova,0
9205,2,2,SATD_have,openstack/nova,0
9295,0,1,SATD_have,openstack/nova,0
9307,0,1,SATD_have,openstack/nova,0
9396,1,0,SATD_have,openstack/nova,0
9408,1,0,SATD_have,openstack/nova,0
9429,0,1,SATD_have,openstack/nova,0
9430,0,1,SATD_have,openstack/nova,0
9454,1,1,SATD_have,openstack/nova,0
9456,1,0,SATD_have,openstack/nova,0
9477,0,2,SATD_have,openstack/nova,0
9513,0,10,SATD_have,openstack/nova,0
9577,1,0,SATD_have,openstack/nova,0
9579,9,0,SATD_have,openstack/nova,0
9580,0,2,SATD_have,openstack/nova,0
9612,2,0,SATD_have,openstack/nova,0
9645,0,1,SATD_have,openstack/nova,0
9665,0,1,SATD_have,openstack/nova,0
9666,0,4,SATD_have,openstack/nova,0
9685,0,1,SATD_have,openstack/nova,0
9696,1,0,SATD_have,openstack/nova,0
9732,1,0,SATD_have,openstack/nova,0
9879,3,0,SATD_have,openstack/nova,0
9915,1,1,SATD_have,openstack/nova,0
9944,1,1,SATD_have,openstack/nova,0
9949,1,1,SATD_have,openstack/nova,0
10080,2,0,SATD_have,openstack/nova,0
10085,0,1,SATD_have,openstack/nova,0
10225,1,0,SATD_have,openstack/nova,0
10228,1,1,SATD_have,openstack/nova,0
10237,0,1,SATD_have,openstack/nova,0
10266,0,1,SATD_have,openstack/nova,0
10318,1,0,SATD_have,openstack/nova,0
10400,0,1,SATD_have,openstack/nova,0
10510,0,1,SATD_have,openstack/nova,0
10523,0,2,SATD_have,openstack/nova,0
10535,0,5,SATD_have,openstack/nova,0
10575,0,1,SATD_have,openstack/nova,0
10631,0,1,SATD_have,openstack/nova,0
10660,1,0,SATD_have,openstack/nova,0
10707,0,11,SATD_have,openstack/nova,0
10709,0,1,SATD_have,openstack/nova,0
10726,3,3,SATD_have,openstack/nova,0
10730,1,1,SATD_have,openstack/nova,0
10754,0,1,SATD_have,openstack/nova,0
10826,0,2,SATD_have,openstack/nova,0
10847,0,1,SATD_have,openstack/nova,0
10899,2,0,SATD_have,openstack/nova,0
10903,2,3,SATD_have,openstack/nova,0
10933,0,1,SATD_have,openstack/nova,0
10934,0,3,SATD_have,openstack/nova,0
11009,0,3,SATD_have,openstack/nova,0
11022,1,1,SATD_have,openstack/nova,0
11054,0,2,SATD_have,openstack/nova,0
11071,0,2,SATD_have,openstack/nova,0
11086,11,9,SATD_have,openstack/nova,0
11094,0,1,SATD_have,openstack/nova,0
11145,0,1,SATD_have,openstack/nova,0
11184,1,5,SATD_have,openstack/nova,0
11276,0,9,SATD_have,openstack/nova,0
11354,4,18,SATD_have,openstack/nova,0
11379,1,2,SATD_have,openstack/nova,0
11477,1,1,SATD_have,openstack/nova,0
11528,1,1,SATD_have,openstack/nova,0
11532,1,1,SATD_have,openstack/nova,0
11556,0,5,SATD_have,openstack/nova,0
11557,0,1,SATD_have,openstack/nova,0
11592,1,1,SATD_have,openstack/nova,0
11656,0,1,SATD_have,openstack/nova,0
11751,2,1,SATD_have,openstack/nova,0
12082,0,3,SATD_have,openstack/nova,0
12131,3,0,SATD_have,openstack/nova,0
12165,1,0,SATD_have,openstack/nova,0
12173,1,0,SATD_have,openstack/nova,0
12249,0,2,SATD_have,openstack/nova,0
12305,1,1,SATD_have,openstack/nova,0
12507,1,0,SATD_have,openstack/nova,0
12557,0,7,SATD_have,openstack/nova,0
12659,2,1,SATD_have,openstack/nova,0
12661,0,2,SATD_have,openstack/nova,0
12993,0,3,SATD_have,openstack/nova,0
13007,0,3,SATD_have,openstack/nova,0
13018,0,1,SATD_have,openstack/nova,0
13022,0,1,SATD_have,openstack/nova,0
13046,0,1,SATD_have,openstack/nova,0
13049,0,1,SATD_have,openstack/nova,0
13071,0,1,SATD_have,openstack/nova,0
13156,0,1,SATD_have,openstack/nova,0
13159,1,0,SATD_have,openstack/nova,0
13166,0,2,SATD_have,openstack/nova,0
13172,1,0,SATD_have,openstack/nova,0
13173,0,1,SATD_have,openstack/nova,0
13176,0,2,SATD_have,openstack/nova,0
13182,0,1,SATD_have,openstack/nova,0
13218,0,1,SATD_have,openstack/nova,0
13282,0,1,SATD_have,openstack/nova,0
13294,1,0,SATD_have,openstack/nova,0
13401,0,1,SATD_have,openstack/nova,0
13408,0,1,SATD_have,openstack/nova,0
13542,0,1,SATD_have,openstack/nova,0
13579,0,1,SATD_have,openstack/nova,0
13594,0,1,SATD_have,openstack/nova,0
13665,0,1,SATD_have,openstack/nova,0
13790,2,2,SATD_have,openstack/nova,0
13909,1,1,SATD_have,openstack/nova,0
13931,1,0,SATD_have,openstack/nova,0
13963,1,0,SATD_have,openstack/nova,0
14014,1,0,SATD_have,openstack/nova,0
14015,3,0,SATD_have,openstack/nova,0
14250,2,2,SATD_have,openstack/nova,0
14259,0,1,SATD_have,openstack/nova,0
14347,1,2,SATD_have,openstack/nova,0
14539,0,1,SATD_have,openstack/nova,0
14698,2,0,SATD_have,openstack/nova,0
14714,0,1,SATD_have,openstack/nova,0
14731,24,0,SATD_have,openstack/nova,0
14752,2,2,SATD_have,openstack/nova,0
14770,1,0,SATD_have,openstack/nova,0
14776,0,1,SATD_have,openstack/nova,0
14789,1,1,SATD_have,openstack/nova,0
14805,0,4,SATD_have,openstack/nova,0
14832,0,9,SATD_have,openstack/nova,0
14833,0,2,SATD_have,openstack/nova,0
14835,1,0,SATD_have,openstack/nova,0
14925,0,1,SATD_have,openstack/nova,0
14935,1,1,SATD_have,openstack/nova,0
15054,1,0,SATD_have,openstack/nova,0
15069,0,2,SATD_have,openstack/nova,0
15084,1,0,SATD_have,openstack/nova,0
15096,3,3,SATD_have,openstack/nova,0
15129,3,3,SATD_have,openstack/nova,0
15184,0,1,SATD_have,openstack/nova,0
15196,0,6,SATD_have,openstack/nova,0
15228,0,21,SATD_have,openstack/nova,0
15236,0,1,SATD_have,openstack/nova,0
15238,0,1,SATD_have,openstack/nova,0
15250,0,2,SATD_have,openstack/nova,0
15272,1,0,SATD_have,openstack/nova,0
15449,1,0,SATD_have,openstack/nova,0
15575,1,0,SATD_have,openstack/nova,0
15589,1,0,SATD_have,openstack/nova,0
15602,2,0,SATD_have,openstack/nova,0
15651,1,0,SATD_have,openstack/nova,0
15685,9,0,SATD_have,openstack/nova,0
15704,2,0,SATD_have,openstack/nova,0
15709,0,1,SATD_have,openstack/nova,0
15796,0,1,SATD_have,openstack/nova,0
15799,1,1,SATD_have,openstack/nova,0
15810,1,0,SATD_have,openstack/nova,0
15811,0,1,SATD_have,openstack/nova,0
15831,0,3,SATD_have,openstack/nova,0
15879,1,0,SATD_have,openstack/nova,0
16034,1,0,SATD_have,openstack/nova,0
16122,0,1,SATD_have,openstack/nova,0
16134,0,1,SATD_have,openstack/nova,0
16179,2,0,SATD_have,openstack/nova,0
16193,0,2,SATD_have,openstack/nova,0
16313,1,0,SATD_have,openstack/nova,0
16326,3,0,SATD_have,openstack/nova,0
16334,4,6,SATD_have,openstack/nova,0
16472,0,1,SATD_have,openstack/nova,0
16505,0,1,SATD_have,openstack/nova,0
16607,0,2,SATD_have,openstack/nova,0
16661,0,1,SATD_have,openstack/nova,0
16684,1,0,SATD_have,openstack/nova,0
16688,1,0,SATD_have,openstack/nova,0
16702,1,0,SATD_have,openstack/nova,0
16716,0,1,SATD_have,openstack/nova,0
16726,0,1,SATD_have,openstack/nova,0
16796,1,0,SATD_have,openstack/nova,0
16914,1,0,SATD_have,openstack/nova,0
16940,0,1,SATD_have,openstack/nova,0
17011,0,1,SATD_have,openstack/nova,0
17102,0,1,SATD_have,openstack/nova,0
17274,0,1,SATD_have,openstack/nova,0
17352,1,0,SATD_have,openstack/nova,0
17415,0,1,SATD_have,openstack/nova,0
17426,0,9,SATD_have,openstack/nova,0
17434,0,2,SATD_have,openstack/nova,0
17672,1,0,SATD_have,openstack/nova,0
17718,0,1,SATD_have,openstack/nova,0
17743,0,2,SATD_have,openstack/nova,0
17760,0,1,SATD_have,openstack/nova,0
17775,0,29,SATD_have,openstack/nova,0
17803,0,2,SATD_have,openstack/nova,0
17814,0,1,SATD_have,openstack/nova,0
17830,3,0,SATD_have,openstack/nova,0
17856,0,2,SATD_have,openstack/nova,0
17857,0,2,SATD_have,openstack/nova,0
17861,2,0,SATD_have,openstack/nova,0
17869,1,0,SATD_have,openstack/nova,0
17879,0,1,SATD_have,openstack/nova,0
17883,0,1,SATD_have,openstack/nova,0
17959,1,0,SATD_have,openstack/nova,0
17965,0,2,SATD_have,openstack/nova,0
17973,1,0,SATD_have,openstack/nova,0
18071,1,1,SATD_have,openstack/nova,0
18163,0,1,SATD_have,openstack/nova,0
18233,0,1,SATD_have,openstack/nova,0
18294,0,15,SATD_have,openstack/nova,0
18307,0,2,SATD_have,openstack/nova,0
18414,0,1,SATD_have,openstack/nova,0
18416,0,1,SATD_have,openstack/nova,0
18435,0,5,SATD_have,openstack/nova,0
18462,0,5,SATD_have,openstack/nova,0
18473,1,0,SATD_have,openstack/nova,0
18486,0,5,SATD_have,openstack/nova,0
18493,0,4,SATD_have,openstack/nova,0
18733,2,1,SATD_have,openstack/nova,0
18734,0,4,SATD_have,openstack/nova,0
18743,0,2,SATD_have,openstack/nova,0
18866,0,1,SATD_have,openstack/nova,0
18936,0,5,SATD_have,openstack/nova,0
18938,0,1,SATD_have,openstack/nova,0
18946,0,1,SATD_have,openstack/nova,0
19065,0,9,SATD_have,openstack/nova,0
19119,0,2,SATD_have,openstack/nova,0
19126,0,1,SATD_have,openstack/nova,0
19246,0,8,SATD_have,openstack/nova,0
19281,0,2,SATD_have,openstack/nova,0
19290,0,1,SATD_have,openstack/nova,0
19291,1,0,SATD_have,openstack/nova,0
19352,2,1,SATD_have,openstack/nova,0
19406,2,1,SATD_have,openstack/nova,0
19408,0,2,SATD_have,openstack/nova,0
19426,1,1,SATD_have,openstack/nova,0
19463,0,1,SATD_have,openstack/nova,0
19479,1,0,SATD_have,openstack/nova,0
19485,0,1,SATD_have,openstack/nova,0
19498,0,2,SATD_have,openstack/nova,0
19510,0,1,SATD_have,openstack/nova,0
19514,0,1,SATD_have,openstack/nova,0
19529,0,1,SATD_have,openstack/nova,0
19571,0,2,SATD_have,openstack/nova,0
19601,0,4,SATD_have,openstack/nova,0
19637,0,9,SATD_have,openstack/nova,0
19707,0,5,SATD_have,openstack/nova,0
19755,0,1,SATD_have,openstack/nova,0
19761,1,0,SATD_have,openstack/nova,0
19847,1,1,SATD_have,openstack/nova,0
19861,0,1,SATD_have,openstack/nova,0
19906,0,1,SATD_have,openstack/nova,0
19952,2,2,SATD_have,openstack/nova,0
19970,0,3,SATD_have,openstack/nova,0
19987,2,4,SATD_have,openstack/nova,0
20096,0,1,SATD_have,openstack/nova,0
20173,0,1,SATD_have,openstack/nova,0
20190,0,2,SATD_have,openstack/nova,0
20545,0,1,SATD_have,openstack/nova,0
20648,2,2,SATD_have,openstack/nova,0
20672,0,1,SATD_have,openstack/nova,0
20673,1,0,SATD_have,openstack/nova,0
20773,1,0,SATD_have,openstack/nova,0
20883,0,1,SATD_have,openstack/nova,0
20949,0,1,SATD_have,openstack/nova,0
21041,2,12,SATD_have,openstack/nova,0
21228,0,2,SATD_have,openstack/nova,0
21244,1,5,SATD_have,openstack/nova,0
21255,2,3,SATD_have,openstack/nova,0
21262,0,4,SATD_have,openstack/nova,0
21270,1,0,SATD_have,openstack/nova,0
21281,0,1,SATD_have,openstack/nova,0
21287,2,1,SATD_have,openstack/nova,0
21344,0,1,SATD_have,openstack/nova,0
21355,0,1,SATD_have,openstack/nova,0
21374,2,4,SATD_have,openstack/nova,0
21386,0,1,SATD_have,openstack/nova,0
